,raised_curr,raised_amnt,country,state,company_size,joined,location,market,name,pitch,raised,stage,website
0,$,40184700000,China,Beijing,-,2012-01-01,Beijing,Hardware,Xiaomi,,"$401,847,000,000",,mi.com
1,$,35000000000,United States,Kansas,-,2012-01-01,Overland Park,Advertising,Nextel Communications,,"$35,000,000,000",Acquired,nextel.com
2,$,28100000000,United States,Arkansas,-,2012-01-01,Little Rock,Advertising,Alltel,,"$28,100,000,000",Acquired,alltel.com
3,$,26762000000,China,Zhejiang,-,2012-01-01,Hangzhou,E-Commerce,Alibaba,,"$26,762,000,000",,alibaba.com
4,$,26737700000,United States,California,,2012-01-01,Mountain View,Social,LinkedIn,The world's largest professional network,"$26,737,700,000",Acquired,Website
5,$,26025100000,United States,California,,2012-01-01,Mountain View,Advertising,Google,Leading Search Engine,"$26,025,100,000",IPO,google.com
6,$,20660166511,United States,California,1-10,2012-02-01,San Francisco,Social,Twitter,Instant updates from your friends and the world,"$20,660,166,511",,Website
7,$,19000000000,United States,California,-,2013-08-01,Mountain View,Social,WhatsApp,Simple. Personal. Real Time Messaging.,"$19,000,000,000",Acquired,whatsapp.com
8,$,16012000000,United States,California,,2012-01-01,Menlo Park,Social,Facebook,Bring the world closer together,"$16,012,000,000",Series A,Website
9,$,15300000000,,,-,2012-01-01,-,Mobility,Mobileye,Vision for Advanced Driver Assistance Systems and autonomous driving,"$15,300,000,000",Acquired,mobileye.com
10,$,14900000000,United States,Illinois,,2016-02-01,Chicago,Hardware,Cyberdyne Communcations,wholesale global communcations,"$14,900,000,000",Seed,cynet-internet.com
11,$,14822140000,India,Karnataka,5000+,2012-01-01,Bengaluru,E-Commerce,Flipkart,India's favourite online shopping destination!,"$14,822,140,000",,flipkart.com
12,$,13600000000,United States,California,-,2012-01-01,Carlsbad,Health,Life Technologies,,"$13,600,000,000",Acquired,lifetechnologies.com
13,$,12252450000,United States,California,5000+,2010-06-01,San Francisco,Mobility,Uber,The better way to get there,"$12,252,450,000",,uber.com
14,$,11064900000,United States,California,-,2012-01-01,Sunnyvale,Hardware,Ruckus Wireless,,"$11,064,900,000",IPO,ruckuswireless.com
15,$,10473500000,,,-,2016-10-01,-,Health,StemCentRx,Biotechnology Company,"$10,473,500,000",Series F,stemcentrx.com
16,$,10333560000,United States,California,1001-5000,2012-10-01,San Francisco,E-Commerce,Airbnb,Discover amazing places to stay—or rent out your own!,"$10,333,560,000",Series F,airbnb.com
17,$,10300000000,United States,California,-,2012-01-01,Pleasanton,Software,PeopleSoft,,"$10,300,000,000",Acquired,oracle.com
18,$,9300000000,United States,California,-,2012-01-01,San Mateo,Software,Netsuite,,"$9,300,000,000",Acquired,netsuite.com
19,$,8689310000,United Kingdom,England,-,2012-01-01,Cambridge,Health,Millennium Pharmaceuticals,,"$8,689,310,000",Acquired,mlnm.com
20,$,8000000000,,,-,2012-01-01,-,Social,Kakaotalk,,"$8,000,000,000",IPO,-
21,$,7443000000,United States,California,1001-5000,2017-01-01,San Francisco,Media,King.com,King is a leading interactive entertainment company for the mobile world.,"$7,443,000,000",,king.com
22,$,7400000000,United States,California,-,2012-01-01,Santa Clara,Software,Sun Microsystems,,"$7,400,000,000",Acquired,sun.com
