count,name,avg
1,Vollkornmehl oder Mehl,
2,Kondensmilch ,
3,Kebap,
1,Grana Padano gerieben,
1,Waldbeerlikör,
1,Kaffee und Rum,
1,Olivenöl oder Pflanzenmargarine,
2,Kartoffelchips,
2,Sojabohnen - Sprossen,
1,Blattsalat oder Rucola,
10,Austern,3.635
3,1 Ei,
1,Cheddarkäse oder anderer Käse,
116,Erdnussöl,3.4
4,Roggen - Vollkorn,
2,Rauchmandeln,
1,Hefezopf,
2,Fertigmischung für Pizzateig,
6,Pilzpulver,
1,Naturjoghurt oder Vanille- oder Erdbeere-,
6,Kaninchenrücken,
1,Crème fraîche oder Sahne oder Sauerrahm,
1,8 Toastscheiben,
1,Müsli ,
1,Butter und Zucker für die Formen,
1,Aceto balsamico ,
1,Zitronensäure oder Weinsteinsäure,
1,Fett nach Belieben und Verträglichkeit,
1,Wurst - und Fleischreste,
41,Gänseschmalz,3.5
19,Vanillepuddingpulver ,3.675
1,Käse z. B. Gouda,
2,Crème double oder Crème fraîche,
1,Vanilleextrakt oder 1 Pck. Bourbonvanille,
1,Balsamico und Olivenöl,
19,Gehacktes vom Rind,3.535
1,Shrimps - Paste,
1,Schinken oder Schinkenwürfel,
1,Ajvar scharfer oder milder,
5,Hummus,
1,geriebene Haselnüsse für die Arbeitsfläche,
1,Likör nach Wahl oder,
1,Aprikosenlikör oder Orangelikör,
15,Smarties,3.415
2,Wasser für den Tortenguss,
1,Chilipulver - mehr nach Geschmack,
2,andere Brühe,
1,Zutaten für das weiße Fudge,
1,2 Kochbeutel,
1,Bärlauch - Paste Oder,
1,Würstchen nach Wahl,
3,Glutenmehl,
2,Carobpulver,
1,Erdbeeren oder gemischte Beeren nach Wahl,
1,Saft von den Kirschen,
1,Parmaschinken oder Seranoschinken,
2,Brathering,
3,Hackbällchen,
1,Kaffir-Limette,
1,Flammkuchenteig oder Pizzateig,
5,Quark oder Joghurt,
2,QimiQ classic,
1,Vanilleextrakt oder 1 Pck. Vaniliezucker,
1,Proteinpulver nach Wahl,
5,Sauerkirschen oder Schattenmorellen,
1,eine große Dose,
1,Piment de Espelette,
1,Semmelbrösel oder Mehl für die Form,
1,Amaretto oder wahlweise Aprokosennektar,
1,eine italienische Mischung,
53,Kräuterquark,3.5
1,Sangria,
1,Konfekt oder Schokoriegel,
1,Wurst und Schinkenreste,
22,Linguine,3.33
16,Crevetten,3.45
1,Apfelsaft oder Maracujasaft,
1,Muskat oder Macispulver,
4,Walnüsse ,
1,Medaillons vom Reh,
1,Eiweiß  der Nudelränder,
1,Schnitzelfleisch vom Schwein oder Putenkeulenfleisch,
1,Gänsefleisch,
1,Panko oder Paniermehl,
1,Mandelstifte oder -blättchen,
1,Süßstoff oder Zucker nach Bedarf,
1,Schattenmorellen oder 1 1/2 Gläser Schattenmorellen,
1,Portwein oder Eierlikör,
1,Gemüse oder,
1,Delikatessbrühe,
4,Krabben - Fleisch,
1,Kümmel / Anis,
1327,Semmelbrösel,3.6
5,Zichorie,
2,Frischkäse z. B. Philadelphia,
6,Kloßteig,
191,Weinsteinbackpulver,3.5
1,Margarine oder Butter für die Springform,
1,Penne oder Ravioli,
1,Früchte nach Vorrat und Belieben,
1,Bergkäse oder Emmentaler ,
1,Soja -Cuisine,
1,Sauerrahm oder Schmand oder Joghurt,
1,Brühe  des Wirsings,
1,Nelkenpulver oder,
1,Wildreis oder Risottoreis,
1,Schlagsahne oder Schlagcreme,
1,Haggis,
1,Holz,
2,Sardellen oder Sardellenpaste,
1,Puddingpulver Sahne,
10,Wild,3.5
1,Spaghetti oder andere Pasta nach Wahl,
1,Pflanzenfett oder Butter,
1,Bauch,
1,Senf oder Hamburgersauce,
1,Mehl .,
3,Puderzucker oder Zimtzucker,
3,Brühe ,
2,Apfel - Dicksaft,
1,Bärlauchblätter gewaschen und in feine Streifen geschnitten,
1,Schnittlauch o. Petersilie,
1,Erdnussöl oder Rapsöl,
1,Mandelkrokant,
1,Saucenpulver für Sauce ,
1,Tapiokamehl oder Mais-Stärke,
3,Gelierzucker 3 plus 1,
1,Fichtentriebe oder Tannentriebe,
2,Blüten -Pollen,
3,Nougat ,
1,Maracujasaft oder Aprikosensaft,
1,Rettichsprossen,
1,Weiß-,
1,Johannisbeeren oder Brombeeren,
1,guten Rum,
1,Bacon Bits,
7,Most,
1,Jalapeno,
1,Limettenstück,
1,Schinken / Salami,
2,Menge nach Geschmack,
1,Chilipulver oder,
2,Zitronenmelisse - Blätter ,
7,Mandarinensaft,
1,Medaillons vom Seeteufel,
2,Olivenöl oder Traubenkernöl,
1,Kokosmilch - Pulver,
1,Gemüsebrühe -Pulver,
2556,Kakaopulver,3.67
1,Mehl  - Buchenmehl,
11,Matchapulver,3.33
1,Vanilleextrakt ODER,
1,Paprikapulver o. Chilipulver,
1,Salami oder Chorizo Salami,
7,KNORR Natürlich Lecker! Pikantes Gulasch,
7,Curry - Ketchup,
1,Blattsalat und/oder Babyspinat,
1,Erdbeeren oder anderes Obst nach Saison und Wahl,
1,Schweineschulter mit Schwarte oder,
2,Mehl für die Gläser,
2,Püree von Maronen,
34,Schichtkäse,3.6
1,Hahn,
4,Bagel,
1,Wasser von den Nudeln,
1,Mungsprossen,
1,Margarine oder Öl  der Croutons,
38,Salatblätter,3.33
1,Spaghetti od. Fusili,
1,Mascarpone oder,
1,Lachs -Carpaccio,
1,-aroma,
1,Ketchup nach Bedarf,
1,Trüffel oder Spitzmorchel,
1,Biryani Masala,
8,Oregano oder Majoran,
1,Crème fraîche o. saure Sahne,
3,Kirschen,
1,Rapsöl aus geschälter Saat,
1,Rapsöl oder Leinöl für die Pfanne,
1,Magerstufe,
1,Galgant -Pulver,
1,Vanillepuddingpulver glutenfrei,
1,paar Tropfen Vanilleöl,
1,Miracel Whip oder Salatcreme,
98,Cashewkerne,3.33
1,normaler Thymian,
1,Chiliflocken oder ca. 1 - 2 TL Pul Biber,
127,Rahmspinat,3.59
1,Rum oder Likör nach Geschmack,
2,Weizengras,
1,Öl + Wasser,
1,Röstzwiebeln oder Körner,
1,Sellerie - Stücke,
1,Kalbfleisch oder Lammfleisch,
28,Hühnerleber,3.675
1,Kuhmilchmozzarella,
1,Kakao -Nuss-Mischung ,
1,Essig und Öl vermischt,
2,Ananas - Scheiben,
10,Schinken oder Speck,3.73
2,Senf - Mehl,
2,Passionsfrüchte,
1,Walnusskerne oder Haselnusskerne,
5,Fenchel mit Grün,
1,Zitronensäure oder Saft von zwei Zitronen,
1,Fleisch oder Fisch,
4,Bundmöhren,
3,Vanillezucker bei Bedarf,
1,Früchte z. B. Erdbeeren,
2,Blutampfer,
1,Sauce nach Belieben,
31,Olivenöl oder Rapsöl,3.6
3,Joghurt oder Sahne,
2,Süßstoff oder Süßungsmittel nach Wahl,
1,Pfirsichsaft oder Multivitamin-Saft,
1,Hähnchenbrüste à ca. 150 g,
1,Benediktenkraut,
8,Kapern aus dem Glas,
1,Erdnussbutter oder Erdnussmus,
1,Batavia,
2,Fleischwurst oder Jagdwurst,
1,besser Sambal Badjak,
1,Nüsse für das Blech,
36,Räucherspeck,3.415
7,Nutella oder andere Nussnougatcreme,
26,Metaxa,3.33
1,Aromat bei Bedarf,
1,süße Sahne oder Sojamilch,
1,anderes neutrales,
1,Mehl für den Vorteig,
2,Kardamom - Samen,
1,entsprechend Süßstoff,
1,1 kleine gehackte Chilischote,
1,Fett und klein gehackte Nüsse für die Form,
1,Haselnüsse - oder Mandelblätter,
11,Korianderkörner,3.75
2,Rogen von Lachs oder Lachsforelle,
1,Pflanzenöl oder Walnussöl,
1,Creme lègère,
1,Öl  und für den Salat,
1,Suppenhuhn vom Metzger oder Bauernhof,
1,Bier ,
1,Kokosöl oder anderes Bratöl,
5,Ziegenjoghurt,
1,Pizzagewürz/Grillgewürz,
4,Käse gerieben,
1,1 großer Schuss neutrales Öl,
12,Saaten,3.33
1, Kräuter nach Geschmack,
5,Saint Agur,
2,Mehl  der Kirschen,
1,Kokosraspel für das Lamm,
1,Cremefine mit 7% Fett,
1,Stadtwurst,
1,Crème fraîche o. s ,
6,Schafskäse oder Feta,
1,Milch oder Wasser für den Guss,
1,echter Rum,
2,Calciumhydroxid,
2,Kloßteig aus dem Kühlregal,
1,Hummer - Fond,
1,Räucherlachs oder Lachsfilet in Sushiqualität,
4,Beefsteak,
1,Pflanzencreme oder Butterschmalz,
35,Nudeln nach Wahl,3.73
45,Whiskey,3.33
16,Mandelsirup,3.33
1,Aquavit,
1,Butter oder 1 EL Olivenöl,
982,Spargel,3.5
1,Zimt und Zucker oder Obstmus,
1,Linsen aus der Dose,
1,Kopfsalat oder anderen grünen Salat,
2,Fruchtaufstrich,
1,Butter und 2 Eigelb,
1,aus dem Kühlregal,
1,Polentagrieß mit kurzer Garzeit,
1,Kräuterfrischkäse oder Frischkäse pur,
1,Wasser nach Packungsanweisung beim Ei-Ersatz,
1,Thai-Basilikum ohne Stiele,
1,rot,
1,Hackfleisch oder Tatar,
1,Frischhefe oder 1 Packung Trockenhefe,
2,Rapsöl oder Albaöl,
1,Gulasch vom Schweine,
2,Wasser oder Amaretto,
2850,Zucchini,3.6
1,Gemüsebrühwürfel oder gekörnte Brühe,
1,Schweinenacken oder,
1,Bergkäse oder anderen kräftigen Käse,
1,Süßigkeiten oder Zuckerstreusel,
1,1 Tl. Kurkuma,
1,andere Pflanzenmilch,
1,Butter / Magerine,
1,Gewürzmischung Don Marco's Mafia Coffee Rub,
2,Putenschinken,
1,Zucker für das Götterspeisepulver,
25,Serranoschinken,3.33
1,Vanillearoma oder Orangen- oder Zitronenaroma,
2,Cointreau oder Grand Marnier,
1,Orangensaft ohne Zuckerzusatz,
1,Wildhasenrücken - Filets,
1,Soja -Drink naturell,
16,Mangosaft,3.415
16,Hähnchenleber,3.83
1,Hähnchenschenkel und Flügel,
1,Rapsöl oder Sesamöl,
2,Saucenpulver Vanille,
1,Zitronenaroma bzw. Kuchenglasur,
1,scharfe Würzpaste,
1,nach Wahl,
1,Kaffeesahne ca. 125 ml,
2,Butter oder ungehärtete Pflanzenmargarine,
1,Quark 20% i.Tr.,
1,Rosmarin oder getrockneter Rosmarin,
1,Kräuter der Provonce,
1,Rundkornreis oder Risottoreis,
2,Süßholzwurzel,
1,Walderdbeeren,
1,BBQ-Sauce nach Wahl,
1,Gemüsebouillon oder Rinderbouillon,
1,Rote Bete Kugeln,
1,Margarine für das Waffeleisen,
1,Kuchen - Brösel,
1,Joghurt mit Vollkorn,
1,Rindfleisch / Schulter,
11,Rosinen in Rum,3.6
1,Gelatine - Blätter,
1,Kochwein,
2,Oregano ,
5,Mandeldrink,
1,Chilipulver oder scharfes Paprikapulver,
1,Kirschwasser oder Zwetschgenschnaps,
1,Salatkräuter - Gewürzmischung,
5,Kaktusfeige,
1,Hähnchen oder Putenbrust,
2,Naturjoghurt oder Quark,
1,Brühe oder Wildfond,
1,Zwieback - oder Cornflakesbrösel,
1,Zimt und Puderzucker,
12,Spiralnudeln,3.165
1,Käse - Ersatz,
8,Backoblaten,
1,½ TL getrocknetes Bohnenkraut,
1,Sauerrahm und,
1,einfach nur Majoran,
1,Thunfisch im eigenen Saft oder 1 Dose,
1,Espresso ,
5,Weißkohl oder Spitzkohl,
1,Weißweinessig oder halb so viel Tafelessig,
1,Suppenhuhn vom Metzger,
4,Öl oder Ghee,
1,Rundkornreis oder italienischer Risottoreis,
1,Basilikum -Blätter,
1,Zucker -Dekor,
4,Blattsalat nach Wahl,
1,Butter oder Entenschmalz,
1,-saft,
1,Margarine und 75 g Weizenkleber,
15,Cracker,3.5
33,Würfelzucker,3.33
1,Spätzle vom Vortag oder aus dem Kühlregal,
1,Schweinebauch ohne Knochen und Wamme,
1,Paprikawurst oder Andouille-Wurst,
187,Süßigkeiten,3.75
1,Suppenpulver für Pilzsuppe,
1,Kurkuma od. Currygewürz,
1,Sambal banjar Grundrezept,
1,Butter für die Springform,
137,Glasnudeln,3.5
1,Holunderbeeren - Dolden,
1,Rum aus der Karibik,
7,Toastbrot oder Weißbrot,
1,aus der Packung,
1,Streukäse,
1,1/4 Laib Weißbrot,
6,Dorade,
1,Haselnüsse und/oder Walnüsse,
1,Habanero,
1,Fett für die Form oder Backspray ohne gehärtetes Pflanzenfett),
1,Rapskernöl oder Leinöl,
