date,download,test_server,test_server_distance,test_server_latency,test_server_location,upload
2016-12-04 06:24:55,54.13,wilhelm.tel,0.0,31.589,Norderstedt,5.33
2016-12-04 21:30:01,49.51,C&S Breitband GmbH,0.0,31.824,Bad Oldesloe,5.33
2016-12-04 21:40:02,51.08,C&S Breitband GmbH,0.0,30.336,Bad Oldesloe,5.44
2016-12-04 21:50:02,49.49,wilhelm.tel,0.0,31.136,Norderstedt,5.32
2016-12-04 22:00:01,49.71,C&S Breitband GmbH,0.0,30.492,Bad Oldesloe,5.49
2016-12-04 22:10:01,49.78,wilhelm.tel,0.0,31.129,Norderstedt,5.21
2016-12-04 22:20:02,51.01,wilhelm.tel,0.0,29.163,Norderstedt,5.38
2016-12-04 22:30:01,51.18,Stadtwerke Neumünster GmbH,0.0,29.095,Neumuenster,5.42
2016-12-05 09:10:02,55.6,C&S Breitband GmbH,0.0,31.873,Bad Oldesloe,5.38
2016-12-05 09:20:02,54.29,wilhelm.tel,0.0,32.742,Norderstedt,5.3
2016-12-05 09:30:01,53.66,Stadtwerke Neumünster GmbH,0.0,31.214,Neumuenster,5.53
2016-12-05 09:40:01,53.71,wilhelm.tel,0.0,28.906,Norderstedt,5.32
2016-12-05 09:50:01,50.91,wilhelm.tel,0.0,29.169,Norderstedt,5.37
2016-12-05 10:00:01,55.68,Stadtwerke Neumünster GmbH,0.0,32.272,Neumuenster,5.47
2016-12-05 10:10:01,52.16,Stadtwerke Neumünster GmbH,0.0,28.049,Neumuenster,5.35
2016-12-05 10:20:01,55.42,Stadtwerke Neumünster GmbH,0.0,28.813,Neumuenster,5.52
2016-12-05 10:30:01,54.11,wilhelm.tel,0.0,29.051,Norderstedt,5.37
2016-12-05 10:40:01,55.26,Stadtwerke Neumünster GmbH,0.0,31.34,Neumuenster,5.4
2016-12-05 10:50:01,55.71,Stadtwerke Neumünster GmbH,0.0,32.268,Neumuenster,5.45
2016-12-05 11:00:01,54.09,wilhelm.tel,0.0,29.307,Norderstedt,5.34
2016-12-05 11:10:01,55.45,Stadtwerke Neumünster GmbH,0.0,29.116,Neumuenster,5.4
2016-12-05 11:20:01,55.58,Stadtwerke Neumünster GmbH,0.0,28.983,Neumuenster,5.46
2016-12-05 11:30:01,55.65,Stadtwerke Neumünster GmbH,0.0,32.623,Neumuenster,5.53
2016-12-05 11:40:01,54.07,wilhelm.tel,0.0,29.191,Norderstedt,5.41
2016-12-05 12:00:01,49.33,wilhelm.tel,0.0,32.829,Norderstedt,5.23
2016-12-05 13:00:02,53.39,wilhelm.tel,0.0,36.124,Norderstedt,5.32
2016-12-05 14:00:01,50.33,C&S Breitband GmbH,0.0,32.557,Bad Oldesloe,5.44
2016-12-05 15:00:01,53.47,wilhelm.tel,0.0,30.732,Norderstedt,5.34
