percent_male	male_count	femalecount	word
28.31	1695	760	nahmen
76.79	4205	225	wladimir
66.89	3354	294	gestiegen
53.48	4909	756	rennen
36.06	6589	2069	richtig
57.04	14518	1936	2015
99.50	3369	3	ressortleiter
56.41	14867	2034	spd
1.68	283	2924	beachten
72.53	8487	569	grenze
41.98	2959	724	worten
45.89	4622	965	wohnung
39.87	7655	2044	kleine
79.45	4412	202	meister
81.07	6216	257	spitze
46.39	12846	2629	thema
42.02	4154	1015	bekam
50.20	19786	3476	offenbar
36.82	2442	742	wusste
79.44	14639	671	studium
35.62	4118	1318	passiert
39.13	8217	2263	schrieb
76.04	3405	190	ansicht
61.71	36524	4012	vergangenen
54.63	4373	643	olympischen
49.38	9654	1752	tod
57.79	5613	726	verhandlungen
3.23	451	2390	aktiviert
59.98	12511	1478	donnerstag
22.07	9128	5708	bekommen
51.40	7234	1211	aktuellen
2.84	98	594	rüber
45.88	4468	933	betroffenen
53.35	13835	2142	trump
39.05	2392	661	deutsch
64.78	3864	372	angreifer
29.50	4469	1891	entscheiden
48.70	4295	801	verantwortung
38.08	2355	678	schließen
56.00	6426	894	läuft
59.73	13881	1657	montag
46.65	2919	591	sorge
55.56	6864	972	britische
35.69	2692	859	stolz
52.88	6705	1058	vergleich
70.97	4432	321	konflikt
37.45	3104	918	gingen
45.15	9571	2059	fest
52.38	4547	732	botschaft
41.83	15280	3762	bilder
38.82	2225	621	ideen
84.47	11457	373	hauptstadt
57.31	3920	517	leistung
29.42	5769	2451	verlassen
49.63	3924	705	sport
58.44	7798	982	amt
12.63	484	593	ritter
35.48	2025	652	schicksal
64.87	10575	1014	bundesregierung
42.07	3375	823	kandidaten
57.88	5053	651	hersteller
46.39	6240	1277	gespräch
34.64	4419	1476	körper
79.71	5946	268	club
61.97	5356	582	2005
38.99	2386	661	schnitt
1.11	133	2096	newsletter
41.17	9609	2431	flüchtlinge
38.30	6384	1821	wasser
58.14	7955	1014	geboren
63.86	4730	474	barack
54.66	6755	992	gebe
19.85	1539	1100	erleben
34.11	1810	619	e-mail
40.83	4560	1170	wahrscheinlich
41.48	4436	1108	grenzen
41.20	3823	966	starb
45.10	3086	665	überzeugt
55.72	3554	500	dienst
55.26	10869	1558	einsatz
20.67	861	585	rufen
73.98	7177	447	vertrag
53.86	6172	936	form
36.97	3588	1083	gefühl
32.45	25914	9551	leben
59.73	6175	737	2017
48.12	7590	1449	kosten
59.76	6316	753	donald
